Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSG00000160194,NDUFV3,0.3661758970358814,0.6232482761957883,0.2993284175076224,0.25411980120324357,-0.2732374754247686,1.0,0.32909891598915986,0.16893547272458487,1.0,0.08876257105378225,-1.7863082836405653,0.3118777367706919,0.23513513513513512,-0.2965894640180684,1.0,0.1170534813319879,-1.0999826916546154,1.0,0.42991913746630733,0.5989482096773104,1.0,0.0,0.3438808530266797,1.0
ENSG00000233056,ERVH48-1,0.0014138065522620903,-0.5002662602895667,1.0,0.0,0.17457505994569544,1.0,0.0,0.6167480080950494,1.0,0.012680367293397464,3.6196840760352726,0.45583765192469694,0.0,2.4279243891018822,1.0,0.0,3.3396404459025018,1.0,0.0,3.7520779685766446,1.0,0.0,7.118667912627854,1.0
ENSG00000160199,PKNOX1,0.06362129485179406,-0.14662930567486576,0.9616125963882503,0.06068532566047607,-0.11300153015088998,1.0,0.08350271002710026,0.4291210049192773,0.9976975557196748,0.10778312199387845,0.8470945721383445,0.7505027493799403,0.03135135135135135,-0.5870259523640899,1.0,0.0,-1.2897161741771082,1.0,0.03908355795148248,0.13736812446143665,1.0,0.0,2.4893112925482437,1.0
ENSG00000160201,U2AF1,0.10603549141965678,0.8731921352378782,0.19753312789467162,0.030342662830238034,-1.4499158049620986,0.30573418796423074,0.03438346883468835,-1.1906069139625548,0.5920679231915774,0.10144293834717971,0.4356838893812367,1.0,0.10972972972972972,0.6205694670442776,1.0,0.14631685166498487,1.0917129324589165,1.0,0.0,-1.1427397947312992,1.0,0.0,2.2238501493199094,1.0
ENSG00000286549,AP001631.2,0.0014138065522620903,1.0846962404315885,0.7368385821273634,0.0,1.1745750599456954,1.0,0.0,1.6167480080950494,1.0,0.0,2.0347215753141166,1.0,0.0,3.4279243891018822,1.0,0.0,4.339640445902502,1.0,0.0,4.7520779685766446,1.0,0.0,8.118667912627853,1.0
ENSG00000237989,LINC01679,0.0014138065522620903,0.08469624043158852,1.0,0.0,0.5896125592245394,1.0,0.004911924119241192,2.6167480080950494,0.7743749425488297,0.0,1.4497590745929587,1.0,0.0,2.8429618883807244,1.0,0.0,3.7546779451813457,1.0,0.0,4.1671154678554885,1.0,0.0,7.5337054119066975,1.0
ENSG00000142178,SIK1,0.004241419656786271,-0.7226586816260143,0.7626727709132025,0.0037928328537797542,0.004650058503382404,1.0,0.004911924119241192,0.4468230066527372,1.0,0.0,-0.28720651957324694,1.0,0.03135135135135135,3.0128868898230374,0.6057765857304769,0.05852674066599395,3.9246029466236583,0.5210815516401996,0.0,2.430149873689282,1.0,0.0,5.796739817740491,1.0
ENSG00000160207,HSF2BP,0.0,-0.9153037595684115,1.0,0.0037928328537797542,3.1745750599456946,0.5561058621675087,0.0,1.6167480080950494,1.0,0.0,2.0347215753141166,1.0,0.0,3.4279243891018822,1.0,0.0,4.339640445902502,1.0,0.0,4.7520779685766446,1.0,0.0,8.118667912627853,1.0
ENSG00000160208,RRP1B,0.10038026521060842,-1.2999676098037352,0.009966073505533052,0.3185979597174994,1.1327548842510684,0.13233825930150936,0.2455962059620596,0.5818142179856616,0.6647936557150145,0.17118495846086576,-0.015904497755852454,1.0,0.23513513513513512,0.4971870515389951,1.0,0.14631685166498487,-0.06408174014850765,1.0,0.23450134770889489,0.5764393159399384,1.0,0.0,1.1018596249412993,1.0
ENSG00000160209,PDXK,0.50048751950078,1.6375082175490396,0.0002462497711735132,0.1744703112738687,-1.0156699258762127,0.44115453459472714,0.1375338753387534,-1.3294020179606971,0.38531763285279114,0.16484477481416704,-1.0209625572635626,0.8817775167301146,0.10972972972972972,-1.442440330481523,1.0,0.17558022199798184,-0.7264487445552708,1.0,0.27358490566037735,-0.11828675100675978,1.0,0.0,0.22688420940954312,1.0
