Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000160201,U2AF1,0.10089119763618166,0.7063439074884847,0.37710127708700475,0.06452091367546722,-0.30790924137968245,1.0,0.03264387223863796,-1.322594868124277,0.4493370307335945,0.07404828226555245,-0.03918856920925862,1.0,0.11512089498376037,0.6493052275734041,1.0,0.0,0.8529641986229115,1.0,0.0,0.7054034751838563,1.0
ENSG00000286549,AP001631.2,0.0013820712004956393,1.0204524979165495,0.7654836174526765,0.0,1.3925304767614088,1.0,0.0,1.301895996783517,1.0,0.0,2.1307364322330544,1.0,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000237989,LINC01679,0.0013820712004956393,0.02045249791654946,1.0,0.004301394245031148,2.392530476761409,0.7034822674597937,0.0,0.716933496062361,1.0,0.0,1.5457739315118983,1.0,0.0,2.2342677282945607,1.0,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000142178,SIK1,0.004146213601486918,-0.786902424141056,0.7784869772105351,0.004301394245031148,0.22260547531909758,1.0,0.00816096805965949,0.8868584975046732,1.0,0.006731662024141132,0.9608114307907414,1.0,0.020931071815229157,2.404192729736872,0.5986479793923974,0.0,4.425853867043493,1.0,0.0,4.2782931436044365,1.0
ENSG00000160207,HSF2BP,0.0,-0.9795475020834505,1.0,0.0,1.3925304767614088,1.0,0.004080484029829745,3.301895996783517,0.5815164671367578,0.0,2.1307364322330544,1.0,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000160208,RRP1B,0.11056569603965115,-1.1235132764630835,0.026887801954179467,0.18926134678137052,0.13619072350162442,1.0,0.33868017447586884,1.2347818009249802,0.06926233927171939,0.2086815227483751,0.29784641806831225,1.0,0.19884518224467698,0.23426772829456022,1.0,0.17365269461077842,0.7365547065076008,1.0,0.0,-0.4165870491947543,1.0
ENSG00000160209,PDXK,0.49339941857694325,1.6216252258189634,0.00033478194258095446,0.10323346188074756,-1.7805969567192466,0.10679248076066687,0.17546081328267904,-0.9935598867426543,0.5150840517792402,0.2827298050139275,-0.2012220277915735,1.0,0.08372428726091663,-1.878123509251633,0.6104078787272407,0.0,-1.1440017412874552,1.0,0.0,-1.2915624647265105,1.0
ENSG00000160213,CSTB,1.7331172854215318,0.7593352950770451,0.1308069880501455,0.7871551468407001,-0.9160064132207117,0.5335647410685088,1.1915013367102856,-0.24649854290673495,1.0,1.2857474466109562,-0.11005489992890322,1.0,0.7953807289787079,-0.8283683624448249,1.0,1.215568862275449,-0.2172807948137729,1.0,0.30851063829787234,-1.7834830539822528,1.0
ENSG00000160214,RRP1,0.055282848019825574,-0.9618455003499928,0.11595456789425164,0.1505487985760902,1.1361907235016244,0.22731655927897065,0.09385113268608414,0.27214865338946526,1.0,0.11443825441039925,0.6002217155342735,0.9330138331213461,0.052327679538072894,-0.45378826539069994,1.0,0.0,0.8289187246562602,1.0,0.0,0.6813580012172054,1.0
ENSG00000215458,AATBC,0.09398084163370347,6.128976954694718,6.787791648158261e-12,0.0,-3.7159939800167594,0.02846290293483566,0.0,-3.806628459994652,0.012500432096983989,0.0,-2.9777880245451156,0.2277447377495221,0.0,-2.2892942277624533,0.6258267358412227,0.0,1.639257505152686,1.0,0.0,1.4916967817136304,1.0
ENSG00000160216,AGPAT3,0.30129152170804935,1.3033864611880468,0.007179748186589029,0.12904182735093445,-0.7722142855752225,0.6636198843567569,0.15097790910370057,-0.532325531126769,0.9869480292825129,0.07404828226555245,-1.498620187846556,0.5152228380380514,0.10465535907614579,-0.9405066728091476,1.0,0.17365269461077842,0.4856871165606753,1.0,0.0,-0.666565302203102,1.0
ENSG00000160218,TRAPPC10,0.12024019444312062,-0.4149336467540983,0.6227556605677347,0.14624740433105904,0.09554873900427818,1.0,0.21218516955114675,0.7630299106518148,0.4813443301546977,0.08077994428969358,-0.7687366918129817,1.0,0.18837964633706242,0.5125688907816643,1.0,0.34730538922155685,1.6603191206805152,1.0,0.0,-0.08627928869141899,1.0
ENSG00000241945,PWP2,0.004146213601486918,-1.4389791207207487,0.3637218224623503,0.034411153960249186,2.977492977482566,0.02846290293483566,0.004080484029829745,-0.39854372135757465,1.0,0.006731662024141132,0.4302967140919618,1.0,0.0,0.01187530695811212,1.0,0.0,3.9404270398732506,1.0,0.0,3.792866316434196,1.0
ENSG00000160221,GATD3A,0.07324977362626889,-0.2690541192784366,0.7837482354491448,0.038712548205280334,-1.0669011418758871,0.5335647410685088,0.11833403686506261,0.716933496062361,0.5815164671367578,0.10097493036211698,0.43029671409196135,1.0,0.11512089498376037,0.6493052275734041,1.0,0.0,0.8529641986229115,1.0,0.15425531914893617,1.7175781891299584,1.0
ENSG00000225331,LINC01678,0.03593385121288662,0.5274124866364307,0.6941697361356907,0.017205576980124593,-0.6430934329693114,0.9655608134159374,0.012241452089489235,-1.0904214259952436,0.7823389593231502,0.006731662024141132,-1.3286951864042438,0.9672159157130206,0.10465535907614579,2.1493788307080472,0.16200602975671208,0.0,2.2559288656011804,1.0,0.0,2.1083681421621248,1.0
ENSG00000285413,AP001056.2,0.0027641424009912786,1.6054149986377046,0.5510505258643259,0.0,0.8075679760402528,1.0,0.0,0.716933496062361,1.0,0.0,1.5457739315118983,1.0,0.0,2.2342677282945607,1.0,0.0,6.162819461209699,1.0,0.0,6.015258737770642,1.0
ENSG00000237604,AP001056.1,0.0013820712004956393,-1.3014755969708132,0.7415931028135605,0.008602788490062296,1.977492977482565,0.5982094422575407,0.0,-0.283066503937639,1.0,0.0,0.5457739315118975,1.0,0.020931071815229157,3.404192729736873,0.44961660490335204,0.0,5.162819461209699,1.0,0.0,5.015258737770644,1.0
ENSG00000232124,AP001057.1,0.0,-2.9795475020834514,0.10798641787747981,0.0,-0.6074695232385903,1.0,0.0,-0.6981040032164829,1.0,0.006731662024141132,1.3233815101754498,1.0,0.06279321544568747,5.626585151073321,0.0008748705678645258,0.0,4.747781961930855,1.0,0.0,4.6002212384918,1.0
ENSG00000160223,ICOSLG,0.012438640804460754,-1.7450822484464288,0.03643035888242972,0.02150697122515574,-0.2704345359610194,1.0,0.004080484029829745,-2.0904214259952436,0.3519483481963949,0.006731662024141132,-1.2615809905457063,1.0,0.272103933597979,4.486654889928845,1.8233466341741254e-07,0.0,2.3215172072287564,1.0,0.0,2.1739564837897016,1.0
ENSG00000278158,AP001059.3,0.0,-4.623403691858176,0.00014516717712072843,0.004301394245031148,-1.1924320239597463,0.831596657626153,0.0,-2.3419601929912073,0.3968252415627671,0.013463324048282264,0.19213697689719655,1.0,0.21977625405990614,6.278661847653014,7.607909115842078e-10,0.0,3.10392577215613,1.0,0.0,2.956365048717075,1.0
ENSG00000275799,AP001059.2,0.0013820712004956393,-3.9337438124703263,0.00020579772756713484,0.012904182735093445,-0.46545051836616214,1.0,0.0,-2.698104003216483,0.2805329547196181,0.013463324048282264,-0.1911916626543082,1.0,0.26163839769036445,5.712315025099205,2.6930402181857925e-09,0.0,2.7477819619308543,1.0,0.0,2.6002212384917995,1.0
ENSG00000142182,DNMT3L,0.0,-0.9795475020834505,1.0,0.0,1.3925304767614088,1.0,0.0,1.301895996783517,1.0,0.0,2.1307364322330544,1.0,0.010465535907614579,4.819230229015717,0.46765304818402853,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000232010,AP001059.1,0.0013820712004956393,-0.5645100028046075,1.0,0.0,0.39253047676140884,1.0,0.0,0.3018959967835171,1.0,0.0,1.1307364322330544,1.0,0.020931071815229157,4.404192729736873,0.33025190432123724,0.0,5.747781961930855,1.0,0.0,5.6002212384918,1.0
ENSG00000160224,AIRE,0.0,-2.9795475020834514,0.14148486199335691,0.02150697122515574,3.392530476761409,0.10679248076066687,0.0,-0.6981040032164829,1.0,0.006731662024141132,1.3233815101754498,1.0,0.010465535907614579,2.011875306958112,1.0,0.0,4.747781961930855,1.0,0.0,4.6002212384918,1.0
ENSG00000141959,PFKL,0.4436448553591002,0.18144437458885276,0.8542707413296694,0.3010975971521804,-0.5318638664864135,0.873115093275569,0.3264387223863796,-0.40537791244588406,1.0,0.5183379758588672,0.3608562155941122,1.0,0.6070010826416455,0.5959647698064,0.8730457851879879,0.17365269461077842,-0.5001455515127307,1.0,0.15425531914893617,-0.6477062749517859,1.0
ENSG00000241728,AP001062.3,0.0013820712004956393,-0.9795475020834514,0.8968910917662911,0.0,0.0706023818740471,1.0,0.0,-0.02003209810384554,1.0,0.0,0.8088083373456909,1.0,0.031396607722843736,4.819230229015717,0.12124610702691516,0.0,5.425853867043491,1.0,0.0,5.2782931436044365,1.0
ENSG00000160226,CFAP410,0.0635752752227994,-1.257848664570556,0.023559288090642748,0.18495995253633937,0.9815973758153027,0.3409868318042119,0.13057548895455184,0.34629011614197047,0.9869480292825129,0.18175487465181056,0.8828089187894683,0.5152228380380514,0.10465535907614579,0.04984315715713317,1.0,0.0,0.4258538670434926,1.0,0.15425531914893617,1.2873382832074443,1.0
ENSG00000184441,AP001062.1,0.009674498403469475,-0.14947250352576447,1.0,0.008602788490062296,0.17013805542496208,1.0,0.0,-1.698104003216483,0.6223722325662377,0.033658310120705665,2.2562673143169123,0.30400885886967116,0.010465535907614579,0.912339633407198,1.0,0.0,3.7477819619308543,1.0,0.0,3.6002212384917995,1.0
ENSG00000260256,AP001063.1,0.0013820712004956393,1.0204524979165495,0.7654836174526765,0.0,1.3925304767614088,1.0,0.0,1.301895996783517,1.0,0.0,2.1307364322330544,1.0,0.0,2.8192302290157167,1.0,0.0,6.747781961930855,1.0,0.0,6.6002212384918,1.0
ENSG00000142185,TRPM2,0.08568841443072964,2.997732421416464,4.1229165940066016e-06,0.008602788490062296,-2.1099698637677733,0.22731655927897065,0.00816096805965949,-2.200604343745666,0.13970337700106428,0.013463324048282264,-1.3717639082961295,0.8297011986588287,0.010465535907614579,-1.2892942277624533,1.0,0.0,1.618498944985888,1.0,0.0,1.4709382215468332,1.0
