Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000237594,AP000251.1,0.0017133404230178426,1.5813558677356028,0.6603673423724984,0.0,-1.0807389059298824,0.6832156908177066,0.0,2.4079929305621537,1.0
ENSG00000234509,AP000253.1,0.00685336169207137,2.9032839626229654,0.22780249189809731,0.0,-2.402667000817245,0.2798799153947213,0.0,1.0860648356747902,1.0
ENSG00000142168,SOD1,1.6139666784828077,1.236057635621913,0.00504292395559457,0.5860069044879171,-1.4052877009763804,0.0012438926109293912,1.27551867219917,0.2973791250612564,1.0
ENSG00000273271,AP000254.2,0.00685336169207137,-0.6816785380981916,0.7388847512595484,0.014683544303797468,1.182295499903911,0.393276797008999,0.0,-0.5920070694378472,1.0
ENSG00000156304,SCAF4,0.1730473827248021,-0.3008076419705392,0.7388847512595484,0.18421173762945914,-0.2002025725314538,0.7692035933353248,0.39308437067773166,1.1449585247283585,0.25744021184689536
ENSG00000273091,AP000255.1,0.0,-0.41864413226439723,1.0,0.001334867663981588,0.9192610940701176,1.0,0.0,2.4079929305621537,1.0
ENSG00000159055,MIS18A,0.035980148883374696,-0.24461473248934862,0.9185534343400579,0.034706559263521286,-0.4133142450167533,0.6832156908177066,0.0962655601659751,1.5234701479820885,0.25744021184689536
ENSG00000227256,MIS18A-AS1,0.0017133404230178426,1.5813558677356028,0.6603673423724984,0.0,-1.0807389059298824,0.6832156908177066,0.0,2.4079929305621537,1.0
ENSG00000142207,URB1,0.03426680846035685,0.019476980127487664,1.0,0.030701956271576524,-0.30313132726633096,0.7692035933353248,0.056154910096818805,0.9485613119248555,0.8124829926376667
ENSG00000256073,URB1-AS1,0.017133404230178426,-0.482774469684113,0.7228500620106602,0.02669735327963176,0.6111387987077856,0.5787218011354006,0.016044260027662516,0.03875912089643396,1.0
